@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,10616,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,8084,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1027,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1971,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1328,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,32768,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,4899,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1947,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,563,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1000,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,32785,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,4279,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1040,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2869,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1138,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,49160,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,49175,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,306,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2701,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1032,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,3945,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
