@timestamp,file.mtime,event.action,file.path,file.owner,related.user
"Oct 22, 2022 @ 15:21:03.626","Oct 22, 2022 @ 15:21:03.618","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.620","Oct 22, 2022 @ 15:21:03.614","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.619",-,deleted,/home/adam/service.sh,-,-
"Oct 22, 2022 @ 15:21:03.616","Oct 22, 2022 @ 15:21:03.614","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.615","Oct 22, 2022 @ 15:21:03.614","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.610","Oct 22, 2022 @ 15:21:03.606","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.609",-,deleted,/home/adam/run.sh,-,-
"Oct 22, 2022 @ 15:21:03.606","Oct 22, 2022 @ 15:21:03.602","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.606","Oct 22, 2022 @ 15:21:03.602","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.604","Oct 22, 2022 @ 15:21:03.602","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.598","Oct 22, 2022 @ 15:21:03.594","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.596","Oct 22, 2022 @ 15:21:03.594","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.594","Oct 22, 2022 @ 15:21:03.594","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.590","Oct 22, 2022 @ 15:21:03.586","updated, attributes_modified",/home/adam/.bash_history,adam,-
"Oct 22, 2022 @ 15:21:03.583","Oct 22, 2022 @ 15:21:03.578","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.579","Oct 22, 2022 @ 15:21:03.574","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.579","Oct 22, 2022 @ 15:21:03.574","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.578","Oct 22, 2022 @ 15:21:03.574","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.578","Oct 22, 2022 @ 15:21:03.574","updated, attributes_modified",/var/log/auth.log,syslog,-
